CustomerID,Cluster
C0001,2
C0002,1
C0003,2
C0004,0
C0005,1
C0006,2
C0007,1
C0008,0
C0009,3
C0010,3
C0011,2
C0012,2
C0013,2
C0014,3
C0015,1
C0016,1
C0017,3
C0018,0
C0019,3
C0020,1
C0021,0
C0022,0
C0023,3
C0024,1
C0025,2
C0026,1
C0027,1
C0028,0
C0029,1
C0030,1
C0031,2
C0032,2
C0033,1
C0034,1
C0035,1
C0036,1
C0037,3
C0038,1
C0039,2
C0040,1
C0041,0
C0042,1
C0043,1
C0044,3
C0045,0
C0046,0
C0047,1
C0048,2
C0049,1
C0050,1
C0051,3
C0052,2
C0053,3
C0054,0
C0055,1
C0056,1
C0057,3
C0058,1
C0059,0
C0060,3
C0061,3
C0062,3
C0063,3
C0064,3
C0065,0
C0066,3
C0067,1
C0068,0
C0069,3
C0070,3
C0071,2
C0072,1
C0073,3
C0074,3
C0075,0
C0076,2
C0077,2
C0078,1
C0079,1
C0080,1
C0081,3
C0082,0
C0083,2
C0084,0
C0085,2
C0086,3
C0087,0
C0088,1
C0089,3
C0090,0
C0091,2
C0092,1
C0093,0
C0094,1
C0095,2
C0096,2
C0097,1
C0098,1
C0099,0
C0100,3
C0101,0
C0102,0
C0103,3
C0104,0
C0105,3
C0106,1
C0107,2
C0108,2
C0109,0
C0110,1
C0111,3
C0112,2
C0113,2
C0114,3
C0115,1
C0116,1
C0117,1
C0118,2
C0119,3
C0120,2
C0121,3
C0122,0
C0123,1
C0124,3
C0125,1
C0126,2
C0127,3
C0128,1
C0129,2
C0130,2
C0131,1
C0132,3
C0133,2
C0134,1
C0135,3
C0136,0
C0137,2
C0138,0
C0139,1
C0140,1
C0141,0
C0142,1
C0143,0
C0144,1
C0145,0
C0146,1
C0147,2
C0148,2
C0149,3
C0150,2
C0151,2
C0152,2
C0153,2
C0154,1
C0155,2
C0156,0
C0157,1
C0158,2
C0159,1
C0160,1
C0161,1
C0162,0
C0163,2
C0164,3
C0165,0
C0166,3
C0167,3
C0168,2
C0169,2
C0170,3
C0171,2
C0172,3
C0173,0
C0174,2
C0175,0
C0176,1
C0177,1
C0178,1
C0179,3
C0180,1
C0181,2
C0182,3
C0183,1
C0184,2
C0185,1
C0186,1
C0187,2
C0188,0
C0189,1
C0190,2
C0191,2
C0192,2
C0193,1
C0194,1
C0195,2
C0196,3
C0197,3
C0198,3
C0199,3
C0200,0
