CustomerID,Lookalikes
C0001,"[('C0137', 0.9926413622989152), ('C0191', 0.9893053460718857), ('C0011', 0.9827898470189281)]"
C0002,"[('C0088', 0.9847058643670779), ('C0142', 0.978390517218525), ('C0043', 0.9620111233809513)]"
C0003,"[('C0190', 0.9863693227023833), ('C0147', 0.9717378945389039), ('C0174', 0.9603913334649093)]"
C0004,"[('C0113', 0.9873033683460556), ('C0165', 0.9688358499830305), ('C0012', 0.9643050278723161)]"
C0005,"[('C0140', 0.989781430149179), ('C0186', 0.9772845540605749), ('C0123', 0.9772772087224736)]"
C0006,"[('C0048', 0.9841649909513142), ('C0184', 0.9699101257811578), ('C0107', 0.9696112772561498)]"
C0007,"[('C0146', 0.9960665263297211), ('C0115', 0.9637845238428192), ('C0186', 0.9338793825050782)]"
C0008,"[('C0018', 0.976267578861167), ('C0068', 0.9371280691243524), ('C0034', 0.9216928477029579)]"
C0009,"[('C0061', 0.9689303481647193), ('C0198', 0.9589654007853816), ('C0167', 0.9379961673731919)]"
C0010,"[('C0121', 0.9701668570018853), ('C0111', 0.9665084755181436), ('C0172', 0.9545793212654874)]"
C0011,"[('C0107', 0.9910775480637662), ('C0001', 0.9827898470189281), ('C0137', 0.9755462363207619)]"
C0012,"[('C0153', 0.9866857470155181), ('C0163', 0.9847729847440178), ('C0102', 0.975795675162114)]"
C0013,"[('C0148', 0.9924560668941454), ('C0104', 0.9876142563968403), ('C0163', 0.985453094935674)]"
C0014,"[('C0063', 0.9748519693991025), ('C0119', 0.9743138395931166), ('C0198', 0.9479551859687745)]"
C0015,"[('C0058', 0.9873605531623829), ('C0020', 0.9723322870126817), ('C0131', 0.9691296711025019)]"
C0016,"[('C0185', 0.9925600408969368), ('C0050', 0.9806117572183297), ('C0079', 0.9783428492760671)]"
C0017,"[('C0124', 0.9684375220090966), ('C0053', 0.9624847386657331), ('C0075', 0.9567184310347446)]"
C0018,"[('C0008', 0.976267578861167), ('C0122', 0.968459230032641), ('C0046', 0.9659283470840782)]"
C0019,"[('C0166', 0.9975942387521178), ('C0073', 0.9947799931014291), ('C0199', 0.9859299205888893)]"
C0020,"[('C0015', 0.9723322870126817), ('C0131', 0.9670482446397266), ('C0058', 0.9450474465497142)]"
